9.797,4.587,8.367,6.503,-2.797,7.246,-9.294,0.09231
0.6738,7.419,7.12,6.134,-7.956,5.303,-7.346,2.606
5.777,8.539,7.274,2.385,-9.083,11.2,-5.166,0.6533
5.561,8.022,-0.3351,7.598,-4.945,12.19,-7.972,10.14
3.079,-0.6352,4.844,-4.234,-3.847,1.067,-6.264,-4.666
0.9185,3.022,10.05,-7.657,-6.367,5.915,-10.63,-8.386
7.291,3.541,4.921,1.758,-7.167,10.12,-7.819,-0.3395
7.471,8.024,5.564,2.736,-5.632,15.25,-12.35,2.663
0.6078,-2.457,-5.831,8.745,-5.185,-9.747,-7.476,-4.543
3.725,-3.465,-4.093,7.326,-3.127,-9.689,-7.888,1.688
4.954,6.917,1.091,5.031,-4.043,7.779,-12.39,5.7
11.26,5.57,5.357,6.518,-0.8684,8.677,-10.21,-0.07642
1.713,-5.015,0.5465,-4.135,-6.41,6.586,-8.363,-8.13
1.788,2.99,5.737,7.038,-9.224,5.927,-7.326,2.85
-4.683,-1.507,-13.86,-1.691,-0.5458,7.029,0.9457,4.135
8.146,1.954,1.172,4.818,-1.498,7.214,-12.42,3.721
-2.862,-5.033,-3.696,11.86,1.614,-13.64,-3.9,2.491
8.504,6.804,6.665,5.535,-4.06,1.669,-7.918,7.123
-0.6209,-3.167,0.1195,-1.163,-4.38,8.822,-8.612,-6.557
-9.382,-5.387,-11.11,-0.7437,2.079,3.859,-0.4609,6.69
1.403,-1.943,1.738,-3.844,-4.584,-0.6962,-5.1,-6.745
-11.06,0.3177,-12.15,-0.4748,3.904,1.864,-1.064,5.356
-8.41,0.708,-8.188,-3.754,3.576,4.632,-3.883,0.0421
-8.778,3.369,-8.685,7.114,-0.06408,3.617,-1.185,3.888
-5.048,1.489,-5.012,5.863,1.91,-4.528,-0.3388,1.448
7.4,2.509,3.885,4.113,-3.638,7.095,-5.32,0.9803
-8.007,-2.725,-6.46,-1.088,4.729,1.315,-0.741,8.524
-6.983,0.2572,-0.4403,3.997,-7.362,-8.246,-3.475,1.08
3.568,6.587,1.537,7.598,-9.232,11.74,-11.46,2.319
4.356,7.981,4.476,3.777,-10.97,8.467,-14.94,-2.557
-12.58,4.806,-9.062,-1.43,3.34,5.922,-4.247,4.215
3.632,-2.555,-0.1911,1.106,0.3091,2.644,-6.376,-0.8365
-1.199,-5.402,-6.732,6.923,-7.529,-10.63,-1.652,-0.6889
0.4155,-3.87,-7.28,9.402,-0.1334,-2.87,-4.218,-3.1
0.01099,-1.426,-4.806,5.408,1.376,-11.36,-3.616,-1.732
11.99,4.92,1.951,8.951,-3.549,7.477,-0.8652,5.733
-2.618,-2.651,4.427,-3.389,1.207,6.05,-7.893,-10.59
6.686,4.031,2.313,6.907,-4.948,10.49,-8.693,-0.2324
6.935,-4.49,0.6242,-8.485,-4.446,7.781,-15.26,-11.7
-0.3625,-2.119,-8.483,7.738,0.4027,-9.222,-1.814,-1.331
-12.39,1.499,-8.564,-5.374,2.707,1.807,-1.991,6.778
-1.358,-3.416,-1.721,9.584,2.89,-7.986,-6.466,-1.985
-8.113,1.284,-5.16,-2.281,4.462,3.382,0.7772,3.741
-13.19,2.468,-10.54,-2.916,4.465,2.611,-1.004,6.729
-9.407,-5.014,-8.326,-5.817,4.693,2.673,-4.098,4.95
-12.3,-1.646,-6.29,-3.231,1.599,0.1919,0.7125,12.47
3.065,5.864,0.0138,5.706,-3.394,9.979,-11.74,2.073
-11.79,6.114,-8.869,-0.2256,1.273,3.337,2.787,7.131
1.676,-1.112,3.239,-4.928,-7.61,5.071,-9.474,-4.834
-0.4216,4.714,3.605,-5.081,-4.458,2.052,-10.12,-6.272
5.367,-1.856,3.908,-8.317,-3.639,1.012,-8.539,-10.15
-8.039,-3.178,-11.57,6.162,1.693,5.662,-0.7181,7.172
-4,1.132,-6.195,8.999,1.746,-8.58,2.817,-5.88
-4.532,-7.921,-7.52,5.181,-0.6527,-7.591,-0.5285,0.4393
9.872,7.32,4.021,3.521,-3.392,11.43,-8.244,-2.409
-5.666,-1.819,-6.552,3.544,2.389,-1.123,-6.011,2.138
3.568,-4.252,2.545,0.1733,-2.179,3.618,-10.24,-10.57
-11.38,3.82,-8.876,-2.034,2.116,0.6838,-0.9811,8.792
-3.845,-5.063,-3.883,11.63,2.366,-13.88,-5.794,2.522
-1.804,-3.784,1.919,-4.254,-6.404,3.283,-7.834,-5.359
-11.44,-4.446,-14.7,3.141,2.466,3.367,0.8654,11.97
-8.895,-4.081,-7.994,-0.4902,-2.976,1.212,1.206,7.342
-9.036,8.614,-8.43,-3.757,8.237,5.284,1.698,3.212
-1.102,-4.654,4.207,-4.059,-2.44,1.544,-1.849,-6.74
-1.911,-5.091,-6.623,2.196,1.957,-10.37,-8.728,-5.896
3.687,8.113,6.623,5.983,-4.192,8.538,-12.26,5.49
-8.225,7.27,-2.95,-2.735,2.164,0.9436,-4.705,7.333
-1.649,-1.472,-2.818,8.898,0.1464,-9.697,-4.371,4.334
-2.918,3.629,-9.486,-4.166,3.341,1.513,-1.458,4.147
-16.33,1.76,-8.809,1.298,4.087,2.138,2.709,8.482
2.436,-4.324,7.871,-5.283,-9.307,6.287,-6.419,-8.956
5.333,1.943,2.677,6.992,-3.232,9.984,-11.63,0.4896
-3.399,-2.894,-4.64,9.491,-1.129,-9.383,-4.067,-0.9921
-9.416,2.977,-13.19,-3.158,3.49,7.305,-0.5189,5.673
1.683,-4.397,5.281,-1.089,-5.819,9.378,-8.374,-14.6
-12.65,3.594,-7.282,1.183,1.91,6.447,1.901,4.079
8.57,5.218,9.899,1.08,-3.331,9.915,-9.902,1.395
4.344,-5.275,8.902,-6.915,-5.236,5.365,-8.467,-6.732
2.725,2.908,-0.7454,6.291,-1.861,-11.64,-4.513,-4.096
-0.07902,-6.196,-5.081,2.436,-3.265,-4.124,-0.4963,-0.8749
2.104,-2.775,-4.664,5.352,-4.704,-6.847,-4.722,0.6662
-12.46,2.969,-2.908,2.397,6.144,-1.589,4.008,5.155
8.549,7.696,9.481,4.277,-2.249,11.97,-9.376,1.015
-4.94,1.519,-8.505,2.366,-3.342,9.239,-2.555,3.035
7.935,4.801,3.607,0.5026,-1.397,10.92,-8.52,3.172
7.887,7.741,5.615,7.227,-11.07,12.13,-3.335,1.813
1.025,1.286,-4.188,4.189,-3.41,-6.406,-6.638,2.625
4.696,7.797,4.9,2.189,-1.771,10.13,-6.371,2.685
-12.72,-2.059,-11.95,-3.917,-1.557,7.4,-2.758,8.727
-0.354,-5.936,-0.4595,-2.226,-1.955,7.883,-7.659,-9.96
