2.075,5.155
4.208,9.354
4.065,8.254
1.292,4.845
3.921,6.558
4.216,7.566
4.983,9.174
3.204,7.273
4.625,7.789
0.6877,4.87
0.2914,4.228
3.898,7.698
0.8218,3.386
4.28,6.535
3.277,5.966
2.913,7.064
1.141,3.419
0.8476,3.239
2.695,6.761
3.595,8.654
4.046,8.75
2.932,7.333
0.0463,5.439
1.834,4.103
2.421,6.625
2.55,5.19
2.651,4.914
3.64,5.413
4.459,9.118
3.724,8.09
3.032,6.313
0.3471,3.694
0.4812,2.913
3.112,6.272
0.2773,2.287
1.329,4.355
0.05659,2.558
2.261,5.139
3.437,5.805
2.932,6.319
0.5854,3.724
2.682,7.6
3.54,7.655
2.238,6.366
3.489,6.966
2.343,7.396
1.925,6.898
1.816,2.653
4.12,6.879
4.556,9.184
